nickname;strengths;weaknesses;complaint;datetime;name;evaluation_note;date_work;review;recommendation
@gildovigor;['empenhado', 'prestativo', 'atencioso', 'simpatia'];[];[];11/10/24 18:50;Gil do Vigor;10;jun.-21;"No começo ele é meio tímido, mas vai
se soltando e conquista todo mundo no
set. É empenhado, prestativo e
atencioso. Vale cada centavo cobrado,
pois entrega qualidade e simpatia.";
@mohindi;['qualidade'];['estrelinha', 'difícil de trabalhar'];['agenda', 'não segue briefing'];11/11/24 11:44;"Mohamad (ex-
masterchef)";4;2023;"Um caos, simplesmente impossível
conseguir agenda para que ele publique,
não faz uma unidade de entrega fora do
escopo e tivemos que mover toda a
proposta de campanha e entregas para
se encaixar na agenda dele de viagens
e outros compromissos... ele tinha um
contrato de embaixador de marca (o
mais caro do orçamento disponível para
influs, com o mesmo escopo dos com
menor orçamento) e mesmo assim não
fazia qualquer tipo de esforço pra fazer
uma entrega no prazo. Entrega muita
qualidade nos conteúdos, mas muito
estrelinha e difícil de trabalhar,
principalmente considerando o tanto que
cobra.";"Existem outros influenciadores de
gastronomia que tem melhores
resultados, principalmente em
engajamento e conversão, com
um fee bem mais atraente. Fujam
desse moço."
@bibibailas;['entregou o que foi combinado', 'gerou bons resultados'];[];['assessora', 'não sabe trabalhar com influenciador'];11/11/24 11:52;"Gabriela Bailas (Física e
afins)";8;abr.-24;"A entrega em si foi boa, entregou o que
foi combinado, único ponto negativo de
estresse foi a assessora que parecia
não fazer ideia de como funciona
trabalhar com influenciador. Passou o ar
de ter colocado uma parente X pra fazer
o trabalho e isso pode ser um pouco
exaustivo. Mas a entrega em si deu
certo e gerou bons resultados!";"Tenha paciência que o conteúdo
será bom, a assessora que é
perdida"
@paola_antonini - IG;[];['não cumpre prazos', 'grossa', 'arrogante'];[];11/11/24 14:52;Paola Antonini;1;segundo semestre de 2024;"terrível! ela não cumpre prazos e mente
descaradamente sobre as coisas. mas o
pior de tudo é a sua assessora que é
EXTREMAMENTE grossa e arrogante.";"para quem for trabalhar com ela,
tenha muuuuuita antecedência
pra pedir as coisas pois ela atrasa
demais."
@pear.lara;['ideias legais', 'aceita melhorias', 'melhorando o conteúdo'];[];[];11/11/24 18:06;Lara Cunha;9;fev.-24;"Uma grande querida! Traz ideias legais
nas reuniões de briefing, aceita
melhorias e ajustes numa boa e vem
melhorando o conteúdo pras marcas
cada vez mais.";"Precisando de influ de lifestyle pra
público feminino jovem, é ela!"
@barretovs - ig;[];['pressão baixa', 'difícil entregar algo criativo'];[];11/11/24 18:11;Lucas Barreto;6;2023;"Pressão mais baixa que a minha, era
difícil entregar algo criativo. Mas
acredito que deva ter melhorado.";"Envie o direcional com roteiro já
aprovado na reunião de briefing."
@tchulim - Instagram;['super criativa', 'entendeu o briefing'];[];[];1/23/25 11:29;Carol Rocha;9;mai.-23;"Muito bom! Super criativa, entendeu o
briefing e trouxe sua criatividade para o
conteúdo da marca. O alcance não é
gigante, mas compensa na qualidade da
entrega.";"Vale a pena deixar a criadora ter
espaço para construir sua
narrativa, pois ela sabe o que está
fazendo e domina o conteúdo.
Funciona muito bem também se
considerar suas entregas dentro
da campanha de mídia (o que
deveria ser padrão pra qualquer
ação com criadores, né?)"
blogueirinha;[];['dificuldade de trabalhar', 'equipe não ajuda'];[];1/23/25 11:29;Blogueirinha;3;2024;"Desesperador!!! Tudo precisa ser do
jeito da gata e a equipe dela não ajuda
em nada, só complicam ainda mais o
que já foi alinhado e combinado em
briefing. Se for depender dela pra
entregar, esperem algo bem mais ou
menos e se for ter qualquer set com
ela.... Preparem-se pra pagar extra de
locação e equipe.";"Deixem tudo alinhado em
proposta e escopo, tudo mesmo!"
Vinisenno;['qualidade impecável', 'cumpre prazos'];[];[];1/23/25 11:29;Vinicius Senno;10;2024/2025;"EXTRAORDINÁRIO!
O garoto tem uma qualidade impecável
de entrega!
Incrível!! Cumpre prazos!!";"Tem muito engajamento e o
publico é muito real!!
O RETORNO É MUITO BOM
Assessoria e o proprio Vini são
incríveis!!
AMEI trabalhar com eles!"
@lucas.lima;['se dedica ao roteiro', 'super simpático'];[];[];1/23/25 11:30;Lucas Lima;10;2022/2023 e 2024;"ELE É ÓTIMOOO! Se dedica ao roteiro,
veste a camisa da marca e é SUPER
simpático.";Contrateem
@camilaloures;[];['péssimo roteiro'];[];1/23/25 11:33;Camila Loures;1;2023;"HORRÍVEL. Ela na publi foi a mesma
coisa que nada. Um boneco de posto se
mexendo, roteiro péssimo...";"Gastem seu dinheiro com outra
pessoa"
@brunamarquezine;[];['mal assessorada', 'não lê brief', 'entregas desorganizadas'];['não responde emails', 'não atenta ao período de validade'];1/23/25 11:33;Bruna Marquezine;1;2022;"Mal assessorada, faz apenas o mínimo
e muito mal feito. Não lê brief, faz as
entregas completamente
desorganizadas e amadoras, teve publi
que tava acordado para ser às 20h e ela
subiu de madrugada. A assessoria dela
não responde emails, não se atenta nem
ao período de validade contratual. Não
consegue sequer compreender uma
cláusula simples.";"Não contratem, tem fama mas fica
devendo no profissionalismo e
entregas."
@livia;[];['equipe desorganizada', 'não segue briefing'];[];1/23/25 11:33;livia nunes;3;2024;"péssima. equipe desorganizada. não
segue briefing e entrega um conteúdo
bem qualquer coisa. além de números
super baixos.";"não contratem. da para pagar
gente muito mais legal com o
valor que ela cobra com entrega e
resultados mtos melhores."
carladiaz;[];['não entregou nada'];[];1/23/25 13:39;Carla Diaz;4;2021;"fAredepqeusaendicartdemente demçãeo  fnaozteárv eulm, s boonmst rtarar empre aboa unalhso dos
produtos folios,a enldao é
mEaprianro uuvcmeioiatsa apdmuorra do contextobealni.  ptAeap rora ob uvremieitfaoin updrao fcisoslliaobn apla, roa marca de

gquaset acor nmfearise  quma cg de cada
psuropjertom. eOrc raedtour eon nool  iqslivdeou excepcional às suasnuaeeldred
.  Eeoibi
rec omenaolre vàme stpeurellpideardea rpermsoopit
dações.orcioe p nead éir
odd ierepestotaoismq fueiceno tmeu  ápcxoroibmpraorn dcdieoon saads aea sB dtaotc uiora
dnvaoi Ll omar teteerxc oparadbroiat.a enntec hqeure a g sausato gue plaadrae irfaaz, er
eo xvtírdaepoo.lando o saldo limite combinado.";
@thaigao - IG;['muito criativa', 'entende o briefing'];['mal assessorada'];[];1/23/25 13:46;Thaiga;6;2024;"ela é muito criativa, entende muito bem
o que diz no breifing e o público que
tem, mas mal assessorada. Antes eu
falava com o Caio, que é um cara super
gente fina e desenrolado, além de
responder rápido, mas agora que ele
não cuida mais da carreira dela... ta
beeeem ruim, só reparar em como ela
muda completamente de segmento e
não tem uma linha coesa no perfil";"A influenciadora é simples de
trabalhar, mas o problema é no
trato para chegar até ela"
maluborgesm;[];['não entregou nada'];[];1/23/25 14:08;Malu Borges;1;2023;Péssimo, não entregou nada, não sabe;Não contratem
